project_id,team_size,team_experience_years,budget_thousands,duration_days,complexity,risk,success
1,9,6.4,262.08,90,High,0.6,0
2,6,2.7,490.6,339,Low,0.09,0
3,10,4.0,335.36,117,Medium,0.38,0
4,7,6.0,106.82,353,Low,0.12,0
5,9,2.6,354.28,236,High,0.39,0
6,5,6.4,196.3,158,Medium,0.18,0
7,9,4.5,358.85,340,High,0.24,0
8,10,4.3,81.34,32,Medium,0.55,0
9,7,6.4,128.7,271,Low,0.34,0
10,6,5.9,435.08,150,Low,0.23,0
11,10,4.3,152.23,131,Medium,0.42,0
12,10,7.3,426.67,67,Low,0.29,0
13,5,2.8,175.67,162,Medium,0.28,0
14,8,6.2,339.3,231,Low,0.26,0
15,7,6.2,362.37,50,Low,0.26,0
16,4,4.4,280.69,271,Medium,0.17,0
17,10,5.7,187.39,138,Medium,0.37,0
18,8,2.5,145.69,332,Medium,0.3,0
19,4,6.8,64.94,113,Low,0.45,0
20,7,4.6,186.78,112,Medium,0.12,0
21,3,4.0,343.92,320,Low,0.27,0
22,8,7.1,472.24,98,Low,0.33,0
23,11,3.6,442.04,158,Medium,0.33,0
24,3,2.2,394.73,225,Low,0.62,0
25,5,1.9,404.8,169,Low,0.19,0
26,9,6.2,349.24,312,Low,0.11,0
27,6,2.4,167.13,341,Low,0.15,0
28,11,8.5,458.24,263,Low,0.34,0
29,5,1.0,351.83,52,Low,0.07,0
30,7,8.4,302.2,182,Low,0.27,0
31,5,5.4,99.95,306,Low,0.46,0
32,9,4.8,251.17,90,Medium,0.14,0
33,7,3.9,257.16,348,Low,0.12,0
34,11,5.8,439.05,81,Low,0.19,0
35,9,4.9,295.99,182,Low,0.31,0
36,4,7.2,221.18,266,Medium,0.62,0
37,6,5.2,489.56,340,High,0.19,0
38,11,5.3,99.82,331,Medium,0.21,0
39,4,4.3,240.15,61,Medium,0.44,0
40,11,4.9,68.91,84,Medium,0.24,0
41,7,5.6,382.96,65,Medium,0.14,0
42,4,1.6,463.13,139,Medium,0.16,0
43,6,2.3,176.02,206,Low,0.3,0
44,9,6.5,436.25,343,Low,0.26,0
45,10,5.3,181.5,324,Low,0.14,0
46,5,4.6,459.85,126,High,0.17,0
47,3,5.0,389.28,242,Medium,0.09,0
48,6,5.7,412.21,346,Medium,0.59,0
49,4,3.9,58.1,166,Low,0.11,0
50,10,3.4,483.26,35,Medium,0.3,0
51,6,5.4,377.0,138,Low,0.38,0
52,4,3.0,187.14,64,Low,0.21,0
53,8,5.8,423.23,68,High,0.12,0
54,8,1.6,176.68,179,Medium,0.31,0
55,6,7.1,442.74,147,Low,0.1,0
56,8,5.9,100.66,290,High,0.11,0
57,4,5.5,366.66,116,Low,0.38,0
58,4,7.0,293.31,105,High,0.18,0
59,6,8.3,93.44,342,Low,0.04,0
60,10,7.0,158.85,243,Low,0.48,0
61,9,1.3,55.58,314,Low,0.44,0
62,11,2.4,260.95,268,Low,0.25,0
63,10,3.8,185.57,194,Low,0.12,0
64,7,5.1,319.26,116,Medium,0.31,0
65,4,6.0,183.76,170,High,0.33,0
66,7,3.5,184.96,189,Medium,0.34,0
67,10,5.4,384.44,75,Low,0.36,0
68,11,3.5,71.66,141,Medium,0.15,0
69,11,3.8,456.3,74,Low,0.33,0
70,3,2.2,433.52,276,Low,0.07,0
71,11,3.2,350.51,133,Medium,0.26,0
72,9,2.3,316.95,114,Medium,0.39,0
73,11,3.0,451.54,163,Low,0.36,0
74,10,7.1,133.4,137,Low,0.25,0
75,3,3.1,85.54,47,High,0.19,0
76,10,10.3,157.78,123,Low,0.23,0
77,10,6.0,407.56,179,Medium,0.15,0
78,5,5.4,65.6,275,Medium,0.13,0
79,3,3.3,312.26,318,Low,0.36,0
80,10,6.4,497.95,238,Low,0.08,0
81,5,3.8,435.06,155,Low,0.03,0
82,5,5.2,284.65,264,Medium,0.24,0
83,3,10.1,78.64,151,Medium,0.19,0
84,7,4.8,424.12,167,Medium,0.25,1
85,9,7.3,319.54,144,High,0.16,0
86,11,3.6,101.72,191,Medium,0.41,0
87,9,4.9,92.24,230,Medium,0.29,0
88,11,8.5,459.33,263,Medium,0.15,0
89,10,3.7,351.14,57,Medium,0.14,0
90,4,8.6,423.18,40,Medium,0.34,0
91,3,6.4,445.54,235,Medium,0.27,0
92,9,3.9,307.3,196,Medium,0.26,0
93,9,6.3,282.85,276,Low,0.3,0
94,10,6.9,243.69,76,Medium,0.33,0
95,7,6.2,192.63,275,Low,0.15,0
96,5,1.9,245.57,156,Low,0.16,0
